Tom can't come in.	Tom kać bolo daea.
You are in my way.	Ańaḱ Hora re menaḱmea.
He said that he was relaxed.	Ruu akanać menteć kaji ket́a.
It is a village.	Ena do miat́ Hatu.
I'm all worn out.	Laga chaba akanań.
Climate change in India is often thought to be the cause.	Ena reaḱ Cause do India ren Climate Change ge mente often menoḱa.
I've always wondered what it'd be like to have siblings.	Unḍi-Boko ko taenn re chilikaà toraṅ -mente jaogeń uḍuḱ baa akat́a.
The Mughal Empire, in 1526, ushered in two centuries of relative peace, leaving a legacy of luminous architecture.	1526 re Mughal Empire iate 2-century relative-peace agu eana, anḍoḱ luminous-architecture reaḱ legacy bagetúê eana.
Tom has committed suicide.	Tom doć goćenn eana.
She lives in this village.	Nen Hatu reć taena.
Its further access to the riches of Bengal and the subsequent increased strength and size of its army enabled it to annex or subdue most of India by the 1820s.	Bengal aḱ biti reaḱ anḍoḱ láḱ access, anḍoḱ en tayomaḱ peeć anḍoḱ army size re lanahḱ te láḱpaa India annex baredo subdue ć dae eana.
Crush the ginger.	Ada sert́ê me.
Settled life emerged on the subcontinent in the western margins of the Indus river basin 9,000 years ago, evolving gradually into the Indus Valley Civilisation of the third millennium BCE.	9,000 sirma maaṅ Sindhu Gaḍa Basin western Kuṭi re settled-life nelnam eana, ena ge tayom mae-mae te 3000 BCE re Indus Valley Civilization baioḱge evolve eana.
Did you let Tom rest?	Tom dom jirao iri ket́ića?
How do you say XXX in English?	XXX, nena English te chilikakô menea?
Show it to me.	Uduṕań ben.
What are you eating?	Chenaḱben jom tana?
Lift it up.	Chetanê ben.
Why are you sad?	Chikatepe duku akana?
Walk gingerly.	Evn met́ akaa te senê me.
Are you a student?	Paṛao tanape?
It is the seventh-largest country by area; the most populous country as of June 2023; and from the time of its independence in 1947, the world's most populous democracy.	June 2023 jooṅ re nena do Area lekate 7 aḱ maraṅ disum; anḍoḱ saben ko aete láḱ population an disum tana; anḍoḱ 1947 sirma re independence aete nena do world reaḱ saben aete láḱ population an democracy tana.
Check if the gas tap is closed.	Gas reaḱ Tap do eset́ akana chi nel lekaa me.
I can count.	Leka daeań.
I don't know.	Kań adaana.
Sami was feigning memory loss.	Sami do Memory at́ ket́ lekać uduṕ chakat́enn taekena.
Smile.	Landaê ben.
What would you like to eat?	Chenaḱben jomêa?
Lift it up.	Tíṅê pe.
Kabylie has many beautiful villages.	Kabylie re sange móć-móć Hatu ko menaḱa.
Why are you laughing?	Chenaḱ menteben landaê tana?
Fed by diverse resentments and perceptions, including invasive British-style social reforms, harsh land taxes, and summary treatment of some rich landowners and princes, the rebellion rocked many regions of northern and central India and shook the foundations of Company rule.	Invasive gen British-style social reform, harsh land tax, chiminaṅ landowner anḍoḱ prince ko summary ge treat ket́ ko teaḱ ko mesa keet́aḱ diverse resentment anḍoḱ perception te ajom hara len nen rebellion te do northern anḍoḱ central India ren sangi Region ko ituṅ eana anḍoḱ Company rule ren foundation ekela eana.
She did it on purpose.	Adaan aeteć enka ket́a.
The resulting Mughal Empire did not stamp out the local societies it came to rule.	Enaaḱ result te bai ean Mughal Empire re, rule suba ean local society ko ẽeć do kakô ẽeć muchat́ eana.
Where does it hurt?	Okontaḱ hasum tana?
I like running.	Nir sukuńa.
I'll make beans for you.	Rambaań isinamea.
Why are you sad?	Chikatem duku akana?
It tastes very sweet.	Esu nogot́ ge jomoḱa.
Settled life emerged on the subcontinent in the western margins of the Indus river basin 9,000 years ago, evolving gradually into the Indus Valley Civilisation of the third millennium BCE.	9,000 sirma maaṅ Sindhu-river-basin western kuṭi re settled-life nelnam eana, ena ge tayom mãe mãe te 3000 BCE re Indus-Valley-Civilization baioḱge evolve eana.
Their village is small.	Hatu takin huḍiń gea.
It's scientifically proven.	Science lekate uduṕ bit́ akana.
There was an increase in the number of large-scale famines, and, despite the risks of infrastructure development borne by Indian taxpayers, little industrial employment was generated for Indians.	Maraṅ-scale ringâ ko reaḱ leneka láḱ eana, anḍoḱ do, infrastructure development reaḱ risk India ren taxpayer ko chetan re taeken re ó, India ren ko lagit́ esu kom industrial employment generate ean taekena.
Salas and Silya didn't tell me that you were a doctor.	Doctor akanam -mente Salas anḍoḱ Silya kakin kajiat́ińa.
Can you tell me why?	Chenaḱmenteaḱm kaji daeańa?
These multicellular structures are often only seen in certain conditions.	Nen Multicellular Structure ko do often chelekan Condition rege nel namoḱa.
Do you want to sleep?	Gitićape?
Where do you live?	Okon rem taena?
Have you seen this man?	Nen Hoom nelat́ića?
Don't lie.	Alaben chakat́a.
I know you are struggling.	Kurumuṭunnn tanameń adaana.
Most bacterial species are either spherical, called cocci (singular coccus, from Greek kókkos, grain, seed), or rod-shaped, called bacilli (sing. bacillus, from Latin baculus, stick).	Láḱpaa Bacteriahita dokô ḍumaṅ (spherical) gea, cocci kô menoḱa (singular do coccus, Greek reaḱ kókkos, Gele, Hitajaṅ aete), baredokô Rod-shape gea, bacilli kô menoḱa (singular do bacillus, Latin reaḱ baculus, Jaṭa aete).
Stay awake.	Evn akanoḱ pe.
Look!	Nelê ben!
Come with me.	Hućoḱ me ań loḱ.
He got to his village.	Aćaḱ Hatuć tebaḱ ket́a.
I don't know when I will return.	Chuilań ruaaà kań adaana.
Medieval India	Medieval India
Vital to India's self-image as an independent nation was its constitution, completed in 1950, which put in place a secular and democratic republic.	Independent nation lekate India aḱ self-image baioḱ lagit́ do, secular anḍoḱ democratic republic bit́ ken, 1950 re sekaa jan, India aḱ constitution aḱ vital role taekena.
I am eating lunch with my sister.	Undińkui loḱń basiamenn tana.
I eat fish every week.	Jao Háṭ Haku Jiluń joma.
Calm down.	Hapan me.
Tell me again.	anḍoḱ misa kajiań ben.
In South India, the Middle kingdoms exported Dravidian-languages scripts and religious cultures to the kingdoms of Southeast Asia.	South-India re, Middle-kingdom ko Southeast-Asia ren kingdom ko paa te Dravidian-language-script ko anḍoḱ religious-culture kokô export ket́a.
Indian movies, music, and spiritual teachings play an increasing role in global culture.	Indian-movie, music, spiritual-teaching ko do global Culture re increasing Role menaḱa.
She smiled sadly.	Duku teć landa ket́a.
Far better it is to dare mighty things, to win glorious triumphs even though checkered by failure, than to rank with those poor spirits who neither enjoy nor suffer much because they live in the gray twilight that knows neither victory nor defeat.	Usul maraṅaḱ ko borsa teaḱ,, Panaḍu te bal pereć akan reó nuútum lekan Danae ko daeoḱ teaḱ do, en Danae ó Panaḍu ó ká urumoḱ lekan toroć Ayuṕ re taen-taen te Rãasa ó Duku ó ká namê lekan Rva ko bapui loḱ leka mesann teaḱ aete láḱ te rená bugina.
Come with me.	Hućoḱ ben ań loḱ.
What makes you think that it was Tom who did this?	Ena do Tom ge enka ket́a mente chenaḱmentem uḍuḱê tana?
The third boy (1344) was found in the winter near the farm Echtzel in Wetterau.	Third Koahon (1344) do, Rabaṅdipili Witterau ren farm Echtzel japaḱ reć nam lena.
The railway network provided critical famine relief, notably reduced the cost of moving goods, and helped nascent Indian-owned industry.	Railway network te critical famine relief em eana, goods ko ipidi reaḱ cost adit́ eana, anḍoḱ namage unduṕ akan Indian-owned industry denga eana.
It wasn't my fault.	Ańaḱ Fault kaa tana.
Everyone has the right to an effective remedy by the competent national tribunals for acts violating the fundamental rights granted him by the constitution or by law.	Constitution baredo Law teć em akan Fundamental Right ko violate ê Act ko lagit́ Competent National Tribunal taḱ aete effective Remedy namê teaḱ Right do hoo hoo taḱ re menaḱa.
India also contains four of the world's 34 biodiversity hotspots, or regions that display significant habitat loss in the presence of high endemism.	Otesaeaḱ 34 kipilijiidann hotspot (enhasaùpânaḱ ko ge sangê menaḱ loḱ significant Basapaiànat́ (habitat loss) nelnamoḱ) ko ren upunea do India re ge menaḱa.
Multicellularity.	Multicellularity.
Let's walk.	Dolabu sen baaêa.
We live on different continents.	Eṭaḱ-eṭaḱ Continent relińa.
It is sunny today.	Tisiṅać jeṭe tat́a.
Philosophers and scientists were interested in the concept of such children, and began to question if these children were part of a different species from the human family.	Philosopher,, Scientist ko, enkan Hon ko menaḱ teaḱ Concept paa te Nelònor taekena, enkan Hon ko do Hoohita aete eṭaḱ Hita ren ko chi mentekô kuli eṭeć let́ taekena.
Nice to meet you.	Am loḱ napamań raȧsa jana.
I don't have any money.	Ań taḱ jahn Puisa banoḱa.
This is achievable in some well-studied bacteria, with models of Escherichia coli metabolism now being produced and tested.	Nena do chiminaṅ Well-studied Bacteria re achieve daeoḱa, anḍoḱ Escherichia coli reaḱ Metabolism Model do nahḱ bai ooḱl tana anḍoḱ test oḱ tana.
For example, participants may take a quiz and estimate their performance afterward, which is then compared to their actual results.	For example, participant ko miat́ Quiz re duṕ eaneet́ takô performance kô estimate êa, ena ge tayom takoaḱ actual result loḱ umaaoḱa.
The soldiers surrounded the village.	Soldier ko Hatukô eset́ biur ket́a.
Sit down.	Duṕ me.
Major peninsular rivers, whose steeper gradients prevent their waters from flooding, include the Godavari, the Mahanadi, the Kaveri, and the Krishna, which also drain into the Bay of Bengal; and the Narmada and the Tapti, which drain into the Arabian Sea.	Hić láḱan Gradient te daḱ kaa bánoḱ major peninsular Gaḍa ko re Bay of Bengal re atu chabaoḱ Godavari,, Mahanadi,, Kaveri,, Krishna ko; anḍoḱ Arabian Sea re atu chabaoḱ Narmada,, Tapti ko lekaoḱa.
Don't lie!	Alape chakat́a!
You've got to take a look at this.	Nenam nelê tege hobaoḱa.
The Mauryan kings are known as much for their empire-building and determined management of public life as for Ashoka's renunciation of militarism and far-flung advocacy of the Buddhist dhamma.	Mauryan king ko Ashoka aḱ militarism banage anḍoḱ Buddha aḱ dhamma reaḱ osar-saniṅ advocacy lagit́ chimin ko nutumana, imin ge nutum empire-building anḍoḱ public Life reaḱ determined Management lagit́ ó menaḱa.
I sell tickets.	Ticket koń akarińa.
Bacteria are ubiquitous, living in every possible habitat on the planet including soil, underwater, deep in Earth's crust and even such extreme environments as acidic hot springs and radioactive waste.	Bacteria ko dokô ubiquitous gea, Hasa,, Daḱsuba,, Otechuṭiàṭal (Earth's crust) ikir ko mesakeet́ sanam tae daáe lekan habitat re menaḱkôa, Acidic Hot Spring anḍoḱ Radioactive Waste lekan Extreme Environment ko reó ge.
I am at home.	Oaḱ reńa.
I am in London.	London reńa.
The ancestors of bacteria were unicellular microorganisms that were the first forms of life to appear on Earth, about 4 billion years ago.	Bacteria koaḱ Ancestor ko do, 4 Billion sirma maaṅ Ote chetan ooḱl ean ayarùtar Jivt́form (Life form) tan Unicellular Manjivt́aḱ (Microorganism) ko.
Are you at home?	Oaḱ remea chi?
Some bacteria, called vibrio, are shaped like slightly curved rods or comma-shaped; others can be spiral-shaped, called spirilla, or tightly coiled, called spirochaetes.	Vibrio menoḱ chiminaṅ Bacteria do, jokoć lego akan Jaṭa baredo Comma lekaakô; eṭaḱ ko do Spirilla menoḱ Chunur-shape rekôa, anḍoḱ chiminaṅ Spirochaetes menoḱkô do uruć gekô binḍa akana.
Do you live here?	Nenreben taena?
How do you say XXX in Dutch?	XXX Dutch te chenaḱkô metaà?
I must study.	Ań paṛao teaḱ menaḱa.
Industries	Industry ko
Let's walk.	Dolabu sen-sen te.
Beyond the Right's populism and the dispersion of the Left which have made this situation possible, I take full responsibility for this defeat and draw the necessary conclusions by retiring from political life after the end of the presidential election.	Nen Situation possible ichi ken Right renkoaḱ Populism anḍoḱ Left renkoaḱ Dispersion kin tayomparom, ań nen Defeat reaḱ goṭa Responsibility ń goḱêa, anḍoḱ Presidential Election tunḍu ean tayom Political Life aete retire oḱ horate necessary Conclusion ko doń baiêa.
I have been acquainted with the mayor for more than twenty years.	Mayor loḱ hisi sirma aete ó láḱń upurum akana.
Look!	Haneè!
I'm not home.	Oaḱ re baṅińa.
How long did you stay?	Chimin gáṛim tae lena?
You are my friend.	Ape ge ańaḱ Juḍi ko.
"The word bacteria is the plural of the Neo-Latin bacterium, which is the Latinisation of the Ancient Greek βακτήριον (baktḗrion), the diminutive of βακτηρία (baktēría), meaning ""staff, cane"", because the first ones to be discovered were rod-shaped."	"Ayarùtar urum nam len ko do jaṭagen (rod-shaped) kô taeken te, Ancient Greek re meaning do ""Soṭa, Danḍaḱ"" hobaoḱ βακτηρία (baktēría) aḱ Dimunitive βακτήριον (baktḗrion) aḱ Laátinêa (Latinisation) tana Nama-Latin (Neo-Latin) ""Bacterium"", ena reaḱ plural ge ""Bacteria"" do."
Let's ask him.	Dolaṅ kulića.
He was given the name Saturday after the day he was found, and Mthiyane was the name of the headmistress of the Special School which took him in.	Ać nam len Musiṅ re, Saturday kô saki ket́ića, oḍoḱ Mythiyane do ać admission ken Special School ren Headmistress aḱ Nutum taekena.
I sell umbrellas.	Chatom koń aákarińa.
Have you washed the dishes?	Bela kope gasar ket́a chi?
According to the International Monetary Fund (IMF), the Indian economy in 2024 was nominally worth $3.94 trillion; it was the fifth-largest economy by market exchange rates and is, at around $15.0 trillion, the third-largest by purchasing power parity (PPP).	International Monetary Fund (IMF) lekate, 2024 re India aḱ Economy reaḱ Nominal Value $3.94 Trillion taekena; nen Economy Market Exchange Rate lekate mṍeaḱ-maraṅa, anḍoḱ $15.0 Trillion naaćpaa beṭaê Purchasing Power Parity (PPP) lekate apéaḱ-maraṅa.
Why are you angry?	Chikateben kurkur akana?
Where are you going?	Okon tema?
What are you talking about?	Chenaḱm jagarê tana?
Bacteria are everywhere.	Bacteria do sabentaḱ menaḱkôa.
Technological changes—among them, railways, canals, and the telegraph—were introduced not long after their introduction in Europe.	Europe re introduce len aete te láḱ Sipirma aurioḱ re ge—railway, ur loor (canal) anḍoḱ Telegraph emanaḱ—technological change ko introduce lena.
It can be subdivided further into broad categories of canopy density, or the proportion of the area of a forest covered by its tree canopy.	Ena ge, canopy density (Daruhunulsuṕ te umbul akan Birbêṉêl reaḱ proportion) lekaten broad category oḱge honhaṭiń daeoḱa.
I do not think that she is at home.	Oaḱ rić leka do kań adaêa.
Yanni shot and missed his heart.	Yanni aćaḱ Surt́eć toḍe pocha ket́a.
As the empire disintegrated, many among these elites were able to seek and control their own affairs.	Empire disintegrate oḱ tan loḱ, nen elite ko re ge sangi do ako akoaḱ affair ako tekô control dae taekena.
Tom said that he was afraid of snakes.	Tom men ket́a 'Biń koń borotekôa.'
Everyone went to sleep.	Saben ko gitić eana.
She considered purity to be truly important.	Purity do sari te important gea lekać nelê taekena.
I talked about the village.	Hatu reaḱń jagar ket́a.
Hessian wolf-children:â€Š15â€“7â€Š (1304, 1341 and 1344) lived with the Eurasian wolf in the forests of Hesse:.	Hesse ren Ṭẽoḱ Hon ko do (1304, 1341 oḍoḱ 1344), Hesse ren Bir ko re Eurasian Ṭẽoḱ loḱkô taekena:.
It's a war of survival.	Ena do tapae jivt́enn reaḱ Gopoć.
Sami could barely carry that suitcase.	Sami en Suitcase bat́ teć tíṅ dae taekena.
I didn't think you could eat all that.	Sabenem jom chabaêa mente kań uṛuḱ let́a.
A long time ago when Pluto was still a planet, there was a boy named Tom.	Esu sirma ayar, Pluto do Planet ge menoḱ taeken imita, Tom nutumann miat́ Hon taekena.
Tom is a very nice boy.	Tom esu bugin Sepeet́.
Quite a lot of people heard Tom yelling.	Sange noḱ ge hoo ko Tom kakala tankô ayumat́ića.
Ginger is very useful in the winter period.	Rabaṅdipili Ada esu Paeṭić emêa.
One, two, three, four, five, six, seven, eight, nine, ten.	Mit́, bar, apé, upun, mõe, turui, ai, iril, are, gel.
I demand quality work.	Quality ann Paiṭiń aásia.
The world is a village.	Otesae do miat́ Hatu.
Bacteria are also used for the bioremediation of industrial toxic wastes.	Bacteria kodo, Industrial Toxic Waste Bioremediation reókô agujoṅoḱa.
Even notebooks can be recycled.	Notebook ko ó recycle daeoḱa.
Come here.	Hućoḱ ben nente.
We are sitting around the table.	Table kuṭi mulile duṕ akana.
Bacteria play a vital role in many stages of the nutrient cycle by recycling nutrients and the fixation of nitrogen from the atmosphere.	Nutrient ko recycle ê tan loḱ,, Atmosphere ren Nitrogen fix ê tan loḱ, Bacteria kodo Nutrient Cycle ren sange Stage kore Vital Role menaḱa.
Their village is small.	Hatu takin huḍińa.
The caste system, which created a hierarchy of priests, warriors, and free peasants, but which excluded indigenous peoples by labelling their occupations impure, arose during this period.	Priest, warrior, anḍoḱ free-peasant koaḱ hierarchy bai ken, indigenous-people koaḱ banasa do impure gea mente label keet́ akô excluded ken caste system do nen period rege bai birit́ lena.
India's population grew from 361 million in 1951 to almost 1.4 billion in 2022.	India aḱ population do 1951 sirma re 361 million aete 2022 sirma re 1.4 billion jooṅ láḱ beṭa eana.
I think we'll get off at the next station.	Hućoḱ Station reliṅ aaguna toraneń menea.
He is at home.	Oaḱ re menaḱća.
Indian merchants, scholars, and sometimes armies were involved in this transmission; Southeast Asians took the initiative as well, with many sojourning in Indian seminaries and translating Buddhist and Hindu texts into their languages.	Nen transmission re Indian merchant, scholar, misâ ko do army koaḱ role taekena; ena re Indian seminary ko re basa keet́ Buddhist anḍoḱ Hindu text ko akoaḱ language te translate ê loḱ Southeast Asia ren koaḱ initiative ó taeken gea.
The leader of the Turkish government presents himself as a victim of an international conspiracy to destabilize the country.	Turkey aḱ Government ren Leader, apać do en Disum destabilize ê teaḱ miat́ Conspiracy ren Victim lekać uduṕena.
Tom is a very nice boy.	Tom esu bugin Hon.
Look at this.	Neè nelê me.
Their collective era was suffused with wide-ranging creativity, but also marked by the declining status of women, and the incorporation of untouchability into an organised system of belief.	Nekoaḱ collective-period do wide-ranging-creativity te pereć lena, mendo Êra koaḱ status-decline anḍoḱ untouchability organised-system-of-belief lekate incorporate ean teaḱ te ó urum lena.
Bacteria display a wide diversity of shapes and sizes.	Bacteria koaḱ do shape,, size re wide diversity menaḱa.
It was sunny yesterday.	Holać jeṭe let́a.
Show me how.	Uduṕańme chilikate.
The pilot hinted that it might be a UFO.	Ena do UFO toraṅ -mente Pilot kaji ingul ket́a.
Here's another Michael Jackson cover.	Neè ge miat́ nama Version eń propose ket́a.
Tom stayed awake.	Tom evn akan geć tae kena.
Show me how.	Uduṕań pe chilikate.
Nouns, adjectives, pronouns and participles are said to be declined, while verbs are said to be conjugated.	Nuútumaḱ,, Adjective,, Pronoun,, Participle ko do decline oḱa -mente menoḱa, anḍoḱ Verbs ko do, conjugate oḱa -mente menoḱa.
In 1947 the British Indian Empire was partitioned into two independent dominions, a Hindu-majority Dominion of India and a Muslim-majority Dominion of Pakistan, amid large-scale loss of life and an unprecedented migration.	1947 re large-scale gonoć anḍoḱ unprecedented migration hoban loḱ British Indian Empire do barea independent dominion oḱge partition eana, miat́ do India, Hindu-majority Dominion, anḍoḱ miat́ do Pakistan, Muslim-majority Dominion.
Let's walk.	Dolaṅ sen-sen te.
Let's play.	Dolabu inuṅa.
Why did you tell me that you didn't have a dog?	Am taḱ Seta baṅać mente chenaḱ reaḱm kajiat́ińa?
Louis Pasteur demonstrated in 1859 that the growth of microorganisms causes the fermentation process and that this growth is not due to spontaneous generation (yeasts and molds, commonly associated with fermentation, are not bacteria, but rather fungi).	Manjivt́ koaḱ Growth tege Unuput́process do hobana, anḍoḱ nen Growth do Spontaneous Generation te do ká hobana (Commonly do Unuput́ loḱ kajimesaoḱ Unuput́jaṅ anḍoḱ Guúmajaṅ do Bacteria káa, Fungi) -mente 1859 re Louis Pasteur demonstrate ket́a.
Tom lives in the village.	Tom nen Hatu reć taena.
India has been a federal republic since 1950, governed through a democratic parliamentary system.	India do 1950 sirma aete miat́ Federal Republic leka menaḱa, Democratic Parliamentary System te govern oḱ tana.
This commonly involves Bacillus thuringiensis (also called BT), a Gram-positive, soil-dwelling bacterium.	Nena re commonly do, BT ókô meta Hasa re taen Gram-positive Bacteria, Bacillus thuringiensis agujoṅoḱa.
Spanish Prime Minister Pedro Sanchez, in announcing the measures, said that starting immediately, residents would be allowed to leave their homes only to buy food or medicine, to go to work, to find medical care or to help care for the young or elderly.	Spain aḱ Prime Minister Pedro Sanchez, Measure koć kaji ḍakaraê tan re, Resident ko do, nahḱ rená aete eṭećoḱ leka, Jomaḱ baredo Reeht́ kiriń, paeṭi, Medical Care sen nam, baredo, Baleḱ baredo Haam ko nel saṕ lagit́ te sekar Oaḱ aetekô ooḱl daea -menteć kaji ket́a.
I smiled.	Landa ket́ań.
Go with me.	Dola ań loḱ.
In the biological communities surrounding hydrothermal vents and cold seeps, extremophile bacteria provide the nutrients needed to sustain life by converting dissolved compounds, such as hydrogen sulphide and methane, to energy.	Hydrothermal Vent anḍoḱ Cold Seep kuṭi koren Biological Community kore do, Extremophile Bacteria ko, Hydrogen Sulphide,, Methane lekan leaṅ akan Compound ko Energy oḱge convert keet́ Life sustain re asitiṅ Nutrient kokô provide êa.
Only around 2% of bacterial species have been fully studied.	Bacteriahita kore 2% noḱ leka sumat́ gekô study pura akana.
Robert Mayanja (1982) lost his parents in the Ugandan Civil War at the age of three, when Milton Obote's soldiers raided their village, around 50 miles (80 km) from Kampala.	Robert Mayanja (1982), 3 sirma akan re Uganda ren Civil War imita, Milton Obote aḱ Soldier ko Kampala aete 80 km saniṅ tać Hatu ko raid ket́ re, Engaàpu kineć at́ ket́kina.
She says she's homesick.	Oaḱ paa geć uṛuḱoḱ tanać men.
Tom was shot in his left leg.	Tom do lenga Kaṭa reć toḍe lena.
I have a wife.	Eraanań.
Expanding commerce during Mughal rule gave rise to new Indian commercial and political elites along the coasts of southern and eastern India.	Mughal rule imita expand oḱ tan commerce te South anḍoḱ East India coast re nama commercial anḍoḱ political elite ko nelnam eana.
We walked to the river.	Gaḍa taḱliṅ sen ket́a.
What are you cooking?	Chenaḱben isin tana?
This is a small village.	Nena do miat́ huḍiń Hatu.
We don't have that kind of money.	Imin Puisa banoḱa tabu.
India's sustained democratic freedoms are unique among the world's newer nations; however, in spite of its recent economic successes, freedom from want for its disadvantaged population remains a goal yet to be achieved.	India aḱ sustained democratic freedom do ote chetan ren nama noḱ disum ko group re unique gea; mendo, daaradaḱ economic success ko menaḱ sante, India ren disadvantage akan ko riningâ aete raa kô teaḱ goal do, sangin re menaḱ akat́ gea.
At the age of around 17, he could still not talk, and still walked and jumped like a monkey.	17 sirma hoba len re, jagar kać dae taeken gea, Gai leka geć sen,, ućenn taekena.
India has been a federal republic since 1950, governed through a democratic parliamentary system.	India do 1950 sirma aete miat́ federal-republic leka menaḱa, Democratic Parliamentary System te govern oḱ tana.
He was a stock-market tycoon until the bears got him.	Bana ko aurikô saṕić jooṅ do Stock-Market Tycoon lenać.
Bacteria inhabit the air, soil, water, acidic hot springs, radioactive waste, and the deep biosphere of Earth's crust.	Bacteria ko do, Hasa,, Daḱ,, Acidic Hot Spring,, Radioactive Waste,, Otecrust ren ikir Biosphere korekô taena.
It isn't gold.	Samaom do kaa.
That black dog sees a white cat.	En hende Seta punḍi Bilaeć nel ket́ića.
The original Indian plate makes its first appearance above the sediment in the ancient Aravalli range, which extends from the Delhi Ridge in a southwesterly direction.	India aḱ original plate do, sediment chetan re ayarutar Delhi Ridge aete south-west paa te bil akan ancient Aravalli range re nel lena.
Tom solved that problem.	Tom en Problem eć solve ket́a.
She doesn't want to be with anyone.	Jahć loḱ kaa tae sukuć tana.
How much does this cost?	Nea chimin gonoṅa?
Why are you laughing?	Chenaḱ chikape landaê tana?
Most are in the gut, though there are many on the skin.	Sange do Úr re menaḱkô reó, láḱpaa do Láć Poṭa reko taena.
I visited some Kabyle villages.	Chiminaṅ Kabyle Hatu koń sen kena.
Is mom going to the store?	Má Dokaneć sen tana chi?
Do you speak English?	English pe jagar adaana?
I am eating rice.	Manḍiń jom tana.
There is little scientific knowledge about feral children.	Birbagehon ko reaḱ Scientificsẽa do esu beteć ge menaḱa.
Don't go near this dog.	Nen Seta japaḱ alape sena.
That's the most realistic preventive measure, I think.	Ańaḱ uḍuḱ lekate, enage most realistic Preventive Measure do.
Their size was just at the limit of what his simple lenses could resolve, and, in one of the most striking hiatuses in the history of science, no one else would see them again for over a century.	Enkoaḱ Size do aćaḱ Lens ko resolve dae taeken Limit rená re taekena, anḍoḱ do, Science reaḱ History ren most striking Hiatus oḱge, mit́ Century aete láḱ leka jahć ó enko kakô nel uraa ket́koa.
Are you tired?	Laga eanaben?
I don't know when I will arrive.	Chuilań hujoḱa kań adaana.
Look here.	Nepaa nelê ben.
Do you understand me?	Ańaḱ Kajiben toḱ ket́a chi kaa?
Take medicine.	Reeht́ jomê me.
Boris arrived in the village.	Boris Hatuć tabaḱ ket́a.
Among the smallest bacteria are members of the genus Mycoplasma, which measure only 0.3 micrometres, as small as the largest viruses.	Huḍiń utar mente lekaoḱ Bacteria kore do, maraṅ utar Virus ko imin huḍiń 0.3 Micrometres ge jiliṅ Mycoplasma Genus renko.
In 2008, India's share of world trade was 1.7%; In 2021, India was the world's ninth-largest importer and the sixteenth-largest exporter.	2008 sirma, Otesai Trade re India aḱ Share do 1.7% taekena; 2021 sirma, India do Otesai ren 9aḱ maraṅ Iímportdisum anḍoḱ 16aḱ maraṅ Eéxportdisum lena.
Unlike cells of animals and other eukaryotes, bacterial cells do not contain a nucleus and rarely harbour membrane-bound organelles.	Senêjivt́,, eṭaḱ Eukaryote ko aete sapaniṅoḱge, Bacteria koaḱ Jivt́okoa redo, Okoamea (Nucleus) ká taena, anḍoḱ Membrane-bound Organelle ko do rarely ge harbour akanoḱa.
For two years he learned how to forage and travel.	Bar sirma, Forage,, Travel eć eto kena.
I am eating dinner with my husband.	Ańaḱ Koa loḱ Mandiń jom tana.
India has a space programme with several planned or completed extraterrestrial missions.	India re sapange plan akan anḍoḱ complete ean extraterrestrial-mission ko menaḱ tan Space Programme menaḱa.
I like fish.	Haku koń sukuaà.
Our source of light is the sun.	Abu Marsal ren Source do Singi.
Leon purchased a minifridge on Craigslist.	Leon Craigslist re miat́ Minifridge eć kiriń ket́a.
India's population grew from 361 million in 1951 to almost 1.4 billion in 2022.	India aḱ population do 1951 sirma re 361 million aete 2022 sirma re 1.4 billion jooṅ láḱ beṭa eana.
You are in my way.	Ańaḱ Hora remea.
Stop!	Hokaê me!
Let us plait a garland.	Miat́ Hisirbu galaṅêa.
The rat the cat the dog chased killed ate the malt.	Seta kakii ket́ić Bilae goć ket́ić Kaṭea do Omongom eć jom ket́a.
Could you send me a picture?	Miat́ Photo m kul daeańa?
I have a car.	Ań taḱ miat́ Car menaḱa.
A criticism of eugenics policies is that, regardless of whether negative or positive policies are used, they are susceptible to abuse because the genetic selection criteria are determined by whichever group has political power at the time.	Eugenics reaḱ negative,, positive bar policy re jahn miat́ salae reó ena do, genetic selection criteria enìmitaṅ political power menaḱ group ge determine ê te, abuse oḱ lagit́ susceptible ge taena mente Eugenics policies reaḱ criticism menaḱa.
The nutrient cycle includes the decomposition of dead bodies; bacteria are responsible for the putrefaction stage in this process.	Nutrient Cycle redo, Goćakanaḱ koaḱ Decomposition lekaoḱa; nen Process ren Putrefaction Stage do Bacteria ko tege hobana.
Come dance!	Dola susun pe!
I don't know what year he was born.	Okon sirmać hoba lena kań adaana.
Economic liberalisation, which began in the 1980s and the collaboration with Soviet Union for technical know-how, has created a large urban middle class, transformed India into one of the world's fastest-growing economies, and increased its geopolitical clout.	1980 ko re eoṕ len economic liberalisation te,, technical know-how lagit́ Soviet Union loḱaḱ collaboration te, miat́ large urban middle class bai hućoḱ eana,, India do Ote chetan ãachaùtar Growing Economic ko loḱ lekaoḱ ge transformer eana,, anḍoḱ India aḱ geopolitical Clout láḱ eana.
Have you taken out the garbage?	Joborape onḍoṅ ket́a chi?
Unusual for feral children, she went on to marry, have children and live a largely normal life with no persisting problems.	Birbagehon ko re nena ko do unusual gea, mendo ać tayom koć Aandi eana,, Hon ko hoba eana,, persisting Problem ko banoḱ loḱ aćaḱ Life largely normal ge taekena.
India's land is megadiverse, with four biodiversity hotspots.	Upunea Biodiversity Hotspot ko menaḱ loḱ te, India aḱ ote do megadiverse gea.
